City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Banda Aceh,5.5577,95.3222,79.16,84,100,8.95,ID,2022-07-13 22:38:36,overcast clouds
1,Kaeo,-35.1,173.7833,56.32,97,100,7.65,NZ,2022-07-13 22:36:38,light rain
2,Saskylakh,71.9167,114.0833,48.31,57,99,10.76,RU,2022-07-13 22:38:36,overcast clouds
3,Tasiilaq,65.6145,-37.6368,39.36,79,17,4.59,GL,2022-07-13 22:38:36,few clouds
4,Bluff,-46.6,168.3333,43.81,77,97,10.22,NZ,2022-07-13 22:38:37,overcast clouds
5,Saint-Philippe,-21.3585,55.7679,65.79,80,27,10.27,RE,2022-07-13 22:35:24,light rain
6,Qaanaaq,77.484,-69.3632,38.73,96,100,6.4,GL,2022-07-13 22:38:37,light rain
7,Hithadhoo,-0.6,73.0833,83.03,73,92,13.58,MV,2022-07-13 22:38:38,overcast clouds
8,Cape Town,-33.9258,18.4232,57.88,93,100,16.11,ZA,2022-07-13 22:33:58,moderate rain
9,Provideniya,64.3833,-173.3,51.91,76,100,11.18,RU,2022-07-13 22:38:38,overcast clouds
10,Pampa,35.5362,-100.9599,99.57,28,0,14.97,US,2022-07-13 22:38:39,clear sky
11,Mayo,38.8876,-76.5119,90.18,64,0,10.36,US,2022-07-13 22:38:39,clear sky
12,Hermanus,-34.4187,19.2345,61.81,83,100,17.81,ZA,2022-07-13 22:34:05,overcast clouds
13,Yellowknife,62.456,-114.3525,68.52,60,75,9.22,CA,2022-07-13 22:34:01,broken clouds
14,Alofi,-19.0595,-169.9187,80.49,69,39,17.27,NU,2022-07-13 22:38:40,scattered clouds
15,Vaini,-21.2,-175.2,80.76,78,75,13.8,TO,2022-07-13 22:38:40,broken clouds
16,Butaritari,3.0707,172.7902,82.58,78,59,15.93,KI,2022-07-13 22:38:40,broken clouds
17,Bilibino,68.0546,166.4372,62.76,44,99,4.38,RU,2022-07-13 22:36:32,overcast clouds
18,Dikson,73.5069,80.5464,44.24,73,100,7.0,RU,2022-07-13 22:38:41,overcast clouds
19,Atkarsk,51.8718,45.0078,65.84,96,89,2.89,RU,2022-07-13 22:38:41,overcast clouds
20,Pevek,69.7008,170.3133,36.82,86,99,8.7,RU,2022-07-13 22:38:42,overcast clouds
21,Ambilobe,-13.2,49.05,66.83,79,9,3.69,MG,2022-07-13 22:38:42,clear sky
22,Goba,7.0167,39.9833,51.44,95,99,3.51,ET,2022-07-13 22:38:43,light rain
23,Mataura,-46.1927,168.8643,43.48,96,100,4.14,NZ,2022-07-13 22:38:43,overcast clouds
24,Beringovskiy,63.05,179.3167,50.38,85,83,8.01,RU,2022-07-13 22:38:43,broken clouds
25,Victoria,22.2855,114.1577,86.18,87,43,1.01,HK,2022-07-13 22:38:32,scattered clouds
26,Umm Lajj,25.0213,37.2685,83.86,75,90,8.39,SA,2022-07-13 22:38:44,overcast clouds
27,Sefophe,-22.1833,27.9667,57.52,46,6,4.43,BW,2022-07-13 22:38:44,clear sky
28,Tuktoyaktuk,69.4541,-133.0374,41.0,87,100,16.11,CA,2022-07-13 22:38:45,overcast clouds
29,Udachnyy,66.4167,112.4,53.46,76,74,12.44,RU,2022-07-13 22:38:45,broken clouds
30,Ilhabela,-23.7781,-45.3581,66.42,92,100,8.39,BR,2022-07-13 22:38:46,overcast clouds
31,Chokurdakh,70.6333,147.9167,49.26,56,48,10.87,RU,2022-07-13 22:38:46,scattered clouds
32,Nome,64.5011,-165.4064,65.16,77,0,9.22,US,2022-07-13 22:37:33,clear sky
33,Guerrero Negro,27.9769,-114.0611,73.38,62,21,18.25,MX,2022-07-13 22:38:47,few clouds
34,Bambous Virieux,-20.3428,57.7575,66.45,94,75,14.97,MU,2022-07-13 22:33:55,light rain
35,Cabo San Lucas,22.8909,-109.9124,95.61,45,0,5.75,MX,2022-07-13 22:38:40,clear sky
